Instituição,Segmento BCB,Perfil,Elegibilidade,Grupo tem DTVM/adm.fid.?,CNPJ,UF,Município,Ativo Total (R$),Passivo Exigível (R$),Patrimônio Líquido (R$),Captações (R$),Carteira de Crédito (R$),TVM (R$),Maior escala (R$),Lucro Líquido (R$),Início atividade,Gestor CVM?,Nº fundos que gere,Adm.fiduciário?,Custodiante?,Nº classes que custodia,PL custodiado (R$),Telefone,E-mail,Site
"EUROINVEST S.A. CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS",Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,34.190.991/0001-34,RJ,Rio De Janeiro,2117963.09,185865.46,1932097.63,,,1879863.48,2117963.09,12217.0,1989,,,,,,,21 22248653,EUROINVEST@GRUPOEUROINVEST.COM.BR,
LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,50.579.044/0001-96,SP,São Paulo,9827342.32,6977651.95,2849690.37,,,,9827342.32,113079.36,1982,,,,,,,11 28139600,LEVYCAM@LEVYCAM.COM.BR,WWW.LEVYCAM.COM.BR
"ACTIVTRADES CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.",Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,43.050.917/0001-03,SC,Florianópolis,12333491.41,1331838.35,11001653.06,242925.89,,882028.0,12333491.41,-104366.999999999,2021,,,,,,,48 31126700,AOLIVEIRA@ACTIVTRADES.COM,WWW.ACTIVTRADES.COM.BR
AMARIL FRANKLIN CORRETORA DE TÍTULOS E VALORES LTDA,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,17.312.661/0001-55,MG,Belo Horizonte,16432954.97,5198938.22,11234016.75,3736188.59,,1881765.22,16432954.97,184618.24,1967,,,,,,,31 32358100,INVESTIMENTOS@AMARILFRANKLIN.COM.BR,WWW.AMARILFRANKLIN.COM.BR
"BPY CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,27.842.177/0001-91,SP,São Paulo,20063943.7,15790007.93,4273935.77,11674392.3,,12994336.36,20063943.7,-816626.67,2017,,,,,,,11 29702933,CONTATO@BPY.GLOBAL,WWW.IBCORRETORA.COM.BR
SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,17.352.220/0001-87,RJ,Rio De Janeiro,21983750.53,15449962.35,6533788.18,,,8202337.08,21983750.53,-310862.25,1968,,,,,,,21 25055000,SENSO@SENSOCORRETORA.COM.BR,WWW.SENSOCORRETORA.COM.BR
SOCIAL BANK BANCO MÚLTIPLO S/A,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,15.173.776/0001-80,BA,Salvador,22087181.62,2518587.28,19568594.34,2387704.77,,,22087181.62,-695448.14,1943,,,,,,,71 21041000,COMPLIANCE@SOCIALBANK.COM.BR,HTTPS://WWW.SOCIALBANK.COM.BR/
BANCO PORTO REAL DE INVESTIMENTOS S.A,Banco de Investimento,Independente nacional,Elegível direto (banco/CTVM),,40.429.946/0001-92,RJ,Porto Real,30736757.87,531174.75,30205583.12,,12651809.18,,30736757.87,49860.2699999999,1992,,,,,,,24 20320002,FINANBPR@BPR.COM.BR,
BANCO CEDULA S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,33.132.044/0001-24,RJ,Rio De Janeiro,32908577.68,8353086.08,24555491.6,4026411.78,176989.5,378807.26,32908577.68,-676534.37,1965,,,,,,,21 22215512,BANCOCEDULA@BANCOCEDULA.COM.BR,WWW.BANCOCEDULA.COM.BR
SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,68.757.681/0001-70,SP,São Paulo,45519071.58,25004027.23,20515044.35,23251404.97,,488803.06,45519071.58,1290468.03,1993,,,,sim,,,51 33279888,CONTROLESINTERNOS@SIMPAUL.COM.BR,WWW.SIMPAUL.COM.BR
BANCO INDUSCRED DE INVESTIMENTO S.A.,Banco de Investimento,Independente nacional,Elegível direto (banco/CTVM),,33.588.252/0001-32,SP,São Paulo,51108343.25,3084484.35,48023858.9,2079606.11,16415945.37,25944819.44,51108343.25,2155390.82,1941,,,,,,,11 31912000,CONTATO@BANCOINDUSCRED.COM.BR,WWW.BANCOINDUSCRED.COM.BR
H H PICCHIONI S/A CORRETORA DE CAMBIO E VALORES MOBILIARIOS,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,17.312.083/0001-57,MG,Belo Horizonte,58710307.07,55327011.75,3383295.32,,,1187.62,58710307.07,-244851.76,1967,,,,,,,31 32387126,PICCHIONI@PICCHIONI.COM.BR,WWW.PICCHIONI.COM.BR
BANCO RNX S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,80.271.455/0001-80,PR,Curitiba,118736076.42,97488759.35,21247317.07,90069039.59,87078782.82,5238807.2,118736076.42,162892.01,1987,,,,,,,41 30745900,BANCORNX@BANCORNX.COM.BR,WWW.BANCORNX.COM.BR
"CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA",Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,02.685.483/0001-30,SP,São Paulo,131100402.32,105326235.48,25774166.84,59450964.3,,64952842.67,131100402.32,-4711506.84,1998,,,,sim,,,11 38421122,GOVERNANCA@CMCAPITAL.COM.BR,WWW.CMCAPITAL.COM.BR
EQI INVESTIMENTOS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,47.965.438/0001-78,SP,São Paulo,133653144.25,55038177.65,78614966.6,19957310.86,,28591652.02,133653144.25,-8410854.23,2023,,,,,,,47 984490035,NOTIFICACOES.REGULATORIO@EQI.COM.BR,
BANCO DE LA NACION ARGENTINA,Banco Comercial Estrangeiro - Filial no país,Estrangeiro,Elegível direto (banco/CTVM),,33.042.151/0001-61,SP,São Paulo,164786733.37,128683977.99,36102755.38,66924963.88,51281028.17,28365470.05,164786733.37,-1300467.01,1960,,,,,,,11 30882388,CONTACTOSP@BNABR.COM.BR,WWW.BNABR.COM.BR
BANCO DE LA PROVINCIA DE BUENOS AIRES,Banco Comercial Estrangeiro - Filial no país,Estrangeiro,Elegível direto (banco/CTVM),,44.189.447/0001-26,SP,São Paulo,167227973.34,26942924.76,140285048.58,24566189.35,24193265.22,40720783.39,167227973.34,-6241223.73,1980,,,,,,,11 31884777,PROVINCIA@BAPRO.COM.BR,
MONTE BRAVO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,50.489.148/0001-00,SP,São Paulo,201587382.81,101335621.25,100251761.56,,,103675231.74,201587382.81,-17986819.3,2023,,1,,,,,11 30180960,CAIO.RIZK@MONTEBRAVO.COM.BR,WWW.MONTEBRAVO.COM.BR
AVENUE SECURITIES BANCO DE INVESTIMENTO S.A.,Banco de Investimento,Independente nacional,Elegível direto (banco/CTVM),,61.384.004/0001-05,SP,São Paulo,237784221.46,188984522.17,48799699.29,155005579.46,,,237784221.46,8632356.89999999,1989,,,,,,,11 23855535,REGULATORIO@AVENUE.US,HTTPS://DTVM.AVENUE.US/
BANCO NACIONAL S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,17.157.777/0001-67,RJ,Rio De Janeiro,,,,,,,,,,,,,,,,21 39832321,bnsa@bnsa.com.br,
BANCO BRADESCARD S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,04.184.779/0001-01,SP,Osasco,,,,,,,,,,,,,,,,11 48313499,5404.REGULATORIO@BRADESCO.COM.BR,HTTPS://WWW.BRADESCARD.COM.BR
KIRTON BANK S.A. - BANCO MÚLTIPLO,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,01.701.201/0001-89,SP,Osasco,,,,,,,,,,,,,,,,41 37776161,OUVIDORIA.BRA@BRADESCO.COM.BR,
BANCO LOSANGO S.A. - BANCO MÚLTIPLO,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,33.254.319/0001-00,RJ,Rio De Janeiro,,,,,,,,,,,,,,,,11 55037500,GUILHERME.PIEDADE@BRADESCO.COM.BR,WWW2.LOSANGO.COM.BR
BANCO BANDEPE S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,10.866.788/0001-77,SP,São Paulo,,,,,,,,,,,,,,,,11 35535533,CORGREGULADORES@SANTANDER.COM.BR,HTTPS://WWW.SANTANDER.COM.BR
OMNI BANCO S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,60.850.229/0001-47,SP,São Paulo,,,,,,,,,,,,,,,,11 33653522,OMNI.BANCO@OMNI.COM.BR,HTTPS://REBRAND.LY/WHATSAPPOUVIDORIAOMNI
BANCO CAIXA GERAL - BRASIL S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,33.466.988/0001-38,SP,São Paulo,,,,,,,,,1938,,,,sim,,,11 35099300,BCGBRASIL@BCGBRASIL.COM.BR,WWW.BCGBRASIL.COM.BR
BANCO SOFISA S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,60.889.128/0001-80,SP,São Paulo,,,,,,,,,1961,,,,sim,,,11 31765500,INSTITUCIONALSOFISABCB@SOFISA.COM.BR,WWW.SOFISA.COM.BR
BANCO INVESTCRED UNIBANCO S.A.,Banco Comercial,Independente nacional,Elegível direto (banco/CTVM),,61.182.408/0001-16,SP,São Paulo,,,,,,,,,,,,,,,,11 50199968,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR,WWW.ITAU.COM.BR
BANCO BESA S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,15.124.464/0001-87,SP,São Paulo,,,,,,,,,,,,,,,,11 33264824,ATENDIMENTO@BANCOBESA.COM.BR,
BANCO SANY BRASIL S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,60.935.819/0001-72,SP,São Paulo,,,,,,,,,,,,,,,,,ANDRADEL@SANYGROUP.COM,
BANCO ABN AMRO CLEARING S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,03.532.415/0001-02,SP,São Paulo,,,,,,,,,2022,,,,sim,,,11 30737400,COMPLIANCE.BR@ABNAMROCLEARING.COM,HTTPS://WWW.ABNAMRO.COM/BR/PT/HOME
BANCO VR S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,78.626.983/0001-63,SP,São Paulo,,,,,,,,,1968,,,,,,,11 41347500,COMPLIANCE@BANCOVR.COM.BR,WWW.BANCOVR.COM.BR
BANCO TRATON BRASIL S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,52.067.630/0001-87,SP,São Paulo,,,,,,,,,,,,,,,,11 983543751,EDUARDO.PORTAS@TRATONFS.COM,
BANCOSEGURO S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,10.264.663/0001-77,SP,São Paulo,,,,,,,,,,,,,sim,,,11 40031775,REGULATORIO@UOLINC.COM,HTTPS://PAGSEGURO.VC/OUVIDORIA
BANCO DA CHINA BRASIL S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,10.690.848/0001-43,SP,São Paulo,,,,,,,,,,,,,,,,11 35083200,CONTATOBC@BOC-BRAZIL.COM,HTTPS://WWW.BANKOFCHINA.COM/BR/PT/
PARANÁ BANCO S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,14.388.334/0001-99,PR,Curitiba,,,,,,,,,2000,,,,,,,41 33519899,PRESIDENCIA@PARANABANCO.COM.BR,WWW.PARANABANCO.COM.BR
BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,00.556.603/0001-74,PR,Curitiba,,,,,,,,,1995,,,,sim,,,41 40072628,COMPLIANCE@BANCOBARI.COM.BR,WWW.BANCOBARI.COM.BR
BANCO SISTEMA S.A.,Banco Múltiplo,Independente nacional,Elegível direto (banco/CTVM),,76.543.115/0001-94,PR,Curitiba,,,,,,,,,,,,,,,,41 35253812,OUVIDORIA@BANCOSISTEMA.COM.BR,WWW.BTGPACTUAL.COM
CODEPE CORRETORA DE VALORES E CÂMBIO S.A.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,09.512.542/0001-18,SP,Barueri,,,,,,,,,2019,,,,sim,,,81 21377979,CODEPE@CODEPE.COM.BR,WWW.CODEPE.COM.BR
TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,61.747.085/0001-60,SP,São Paulo,,,,,,,,,2008,,,,sim,,,11 21114800,PEDRO.FERNANDES@BR.ICAP.COM,TULLETTPREBON.COM.BR
MERRILL LYNCH S.A. CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,02.670.590/0001-95,SP,São Paulo,,,,,,,,,,,,,sim,,,11 21884000,DG.BRAZIL_LOB_COR@BANKOFAMERICA.COM,HTTPS://WWW.BOFABRASIL.COM.BR/
BANCO NACIONAL DE INVESTIMENTOS S.A.,Banco de Investimento,Independente nacional,Elegível direto (banco/CTVM),,33.222.241/0001-34,RJ,Rio De Janeiro,,,,,,,,,,,,,,,,21 39832321,bnsa@bnsa.com.br,
ICAP DO BRASIL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,09.105.360/0001-22,RJ,Rio De Janeiro,,,,,,,,,,,,,sim,,,21 39564200,PEDRO.FERNANDES@BR.ICAP.COM,
BB-BANCO DE INVESTIMENTO S/A,Banco de Investimento,Independente nacional,Elegível direto (banco/CTVM),,24.933.830/0001-30,SP,São Paulo,,,,,,,,,,,,,sim,,,11 42987042,BBBI.GOV@BB.COM.BR,WWW.BB.COM.BR
ÁGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,74.014.747/0001-35,SP,São Paulo,,,,,,,,,,,,,sim,,,21 25290800,CARLOSEDUARDO.VIANNA@AGORAINVESTIMENTOS.COM.BR,WWW.AGORAINVEST.COM.BR
PAGINVEST CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,46.403.683/0001-29,SP,São Paulo,,,,,,,,,,,,,sim,,,11 30389285,REGULATORIO@UOLINC.COM,HTTPS://PAGSEGURO.VC/OUVIDORIA
GURU CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,57.707.777/0001-08,SP,São Paulo,,,,,,,,,,,,,,,,11 98144455,FELIPE@GURU.COM.VC,HTTPS://WWW.GURUCTVM.COM.BR/
IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,31.749.596/0001-50,SP,São Paulo,,,,,,,,,,sim,,,sim,,,11 30143545,CONTATO@IDEALCTVM.COM.BR,WWW.IDEALCTVM.COM.BR
NEON CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,61.723.847/0001-99,SP,São Paulo,,,,,,,,,,,,,sim,1,9992858.0,800 8820652,MARIANA.UVO@NEON.COM.BR,HTTPS://NEON.COM.BR/
ABN AMRO CLEARING CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,44.527.444/0001-55,SP,São Paulo,,,,,,,,,,,,,,,,11 37037437,COMPLIANCE.BR@ABNAMROCLEARING.COM,HTTPS://WWW.ABNAMRO.COM/BR/PT/HOME
NU INVESTIMENTOS S.A. - CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,62.169.875/0001-79,SP,São Paulo,,,,,,,,,,,,,sim,,,11 38414510,CHAPTER-LEGAL@NUBANK.COM.BR,HTTPS://WWW.NUINVEST.COM.BR/
CGD INVESTIMENTOS CORRETORA DE VALORES E CÂMBIO S.A.,Sociedade Corretora de TVM,Independente nacional,Elegível direto (banco/CTVM),,07.554.076/0001-08,SP,São Paulo,,,,,,,,,,,,,,,,11 30739300,OUVIDORIA@CGDSECURITIES.COM.BR,
"ASAAS SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,48.786.608/0001-10,SC,Joinville,994185.17,22158.97,972026.2,,10006.03,938733.71,994185.17,-164459.6,,,,,,,,47 988287217,PIERO@ASAAS.COM.BR,
"SOLFÁCIL SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,48.755.901/0001-10,SP,São Paulo,7566087.23,2364184.24,5201902.99,,1011238.57,,7566087.23,-2801179.66,2023,,,,,,,11 30502828,GUILLAUME.TIRET@SOLFACIL.COM.BR,HTTPS://LANDING.SOLFACIL.COM.BR/
"DUFRIO FINANCEIRA, CRÉDITO, FINANCIAMENTO E INVESTIMENTOS S.A.","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,35.479.592/0001-50,RS,Porto Alegre,8778320.51,294974.47,8483346.04,,4676175.04,3932787.09,8778320.51,-678726.37,2020,,,,,,,51 30921670,DAGOBERTO.ZANON@DUFRIOFINANCEIRA.COM.BR,
"SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A.","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,37.229.413/0001-52,MG,Ouro Preto,23258652.84,17911532.58,5347120.26,15720891.24,11591923.41,6193363.62,23258652.84,-1385883.85,,,,,,,,4000 1234,DIRETOBC@SEJAEFI.COM.BR,
"GOLCRED S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,07.631.026/0001-87,SC,São José,26570588.14,17697181.4,8873406.74,14954759.56,14544575.03,,26570588.14,-209750.450000001,2006,,,,,,,48 33810800,ADMINISTRACAO@GOLCRED.COM.BR,WWW.GOLCRED.COM.BR
"PINTOS S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,35.274.306/0001-10,PI,Teresina,31352183.47,398209.29,30953974.18,,3385610.33,27464178.05,31352183.47,786971.4,2020,,,,,,,86 21074150,OUVIDORIA@PINCRED.COM.BR,WWW.PINCRED.COM.BR
"COMPREV - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,46.241.852/0001-71,RJ,Rio De Janeiro,31980108.38,328345.14,31651763.24,,1626647.34,30230715.24,31980108.38,158916.93,2023,,,,,,,21 25052010,SECRETARIA@COMPREV.COM.BR,
"VALOR S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,07.799.277/0001-75,SP,São Paulo,46188416.92,3822900.9,42365516.02,,39865940.34,4467427.76,46188416.92,2121956.69,2007,,,,,,,11 37176428,SANDRO@VALORFINANCIAMENTOS.COM.BR,
"GRAZZIOTIN FINANCEIRA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,06.339.468/0001-91,RS,Passo Fundo,47625249.6,13483651.07,34141598.53,3029565.18,41889425.64,315.65,47625249.6,4118848.14,2004,,,,,,,54 33167540,FINANCIADORA@GRUPOGRAZZIOTIN.COM.BR,WWW.GRAZZIOTIN.COM.BR
"CLOUDWALK FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,05.503.849/0001-00,SP,São Paulo,62530453.78,39693419.92,22837033.86,39133511.28,6611812.56,19055036.73,62530453.78,-3030260.95,2003,,,,,,,11 41301011,CLOUDWALK@CLOUDWALK.IO,HTTPS://WWW.CLOUDWALK.IO/
"DIREÇÃO S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,58.158.387/0001-99,SP,Santos,67427437.33,505328.0,66922109.33,,4304885.57,59167433.86,67427437.33,1408533.6,1965,,,,,,,13 32024147,DIRECAO@DIRECAOSA.COM.BR,
ASA SOCIEDADE DE CRÉDITO FINANCIAMENTO E INVESTIMENTO S.A.,"Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,48.703.388/0001-13,SP,São Paulo,95413980.76,64450355.61,30963625.15,58878757.99,336298.87,26007890.24,95413980.76,126973.94,2022,,,,,,,11 39005533,SOSA@ASA.COM.BR,
"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,04.230.630/0001-03,SP,São Paulo,102386594.53,10433579.24,91953015.29,,49855610.08,46517597.39,102386594.53,3308332.23,2001,,,,,,,11 48904604,CONTABILIDADE@JBCRED.COM.BR,WWW.JBCRED.COM.BR
"CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,26.225.776/0001-01,RS,Santa Cruz Do Sul,111176075.84,67836752.44,43339323.4,62895189.84,98321875,5787895.25,111176075.84,3410473.19,2017,,,,,,,51 37114898,CONTABILIDADE@CENTROCREDFINANCEIRA.COM.BR,WWW.CENTROCREDFINANCEIRA.COM.BR
"LECCA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,07.652.226/0001-16,RJ,Rio De Janeiro,113990260.64,101369333.73,12620926.91,94889104.48,59320348.94,11429888.43,113990260.64,-4732156.66,2005,,,,,,,11 30759500,GRUPOBCB@LECCA.COM.BR,WWW.LECCA.COM.BR
"CREDITÁ S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,12.599.971/0001-89,RS,Porto Alegre,130392259.63,73034347.87,57357911.76,70553979.74,100998619.37,18154095.36,130392259.63,6188244.35,2010,,,,,,,51 33420003,OUVIDORIA@CREDITASA.COM.BR,WWW.CREDITASA.COM.BR
"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,03.311.443/0001-91,ES,Vitória,140952705.68,123730834.98,17221870.7,59548201.52,33762352.77,,140952705.68,1699391.95,,,,,,,,27 21234777,CONTATO@PARATI-CFI.COM.BR,
"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,20.443.996/0001-17,RS,Cerro Largo,146084983.85,98423372.51,47661611.34,15910859.69,125616471.63,9815483.61,146084983.85,4733309.51,2015,,,,,,,55 33593550,OUVIDORIA@BECKERFINANCEIRA.COM,WWW.BECKERFINANCEIRA.COM.BR
"PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,35.551.187/0001-04,SP,Presidente Prudente,168214292.83,142727211.69,25487081.14,141853742.72,149190299.27,6440918.51,168214292.83,845562.84,2021,,,,,,,18 21049700,ANTONIO.SHIRO@PLANTAEAGROCREDITO.COM.BR,WWW.PLANTAEAGROCREDITO.COM.BR
"RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,06.249.129/0001-14,SP,São Paulo,176092270.69,155767195.75,20325074.94,153249150.7,128973635.43,7364904.17,176092270.69,441107.250000001,2004,,,,,,,11 32849816,CONTATO@EMPRESTACAPITAL.COM.BR,WWW.EMPRESTACAPITAL.COM.BR
"SINOSSERRA FINANCEIRA S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,22.639.377/0001-28,RS,Novo Hamburgo,190578860.45,177658266.36,12920594.09,166168125.79,170495129.68,12439766.52,190578860.45,519135.560000001,2015,,,,,,,51 39101190,INFORMES@SINOSSERRAFINANCEIRA.COM.BR,WWW.SINOSSERRAFINANCEIRA.COM.BR
