Instituição,Tipo,CNPJ,UF,Município,Telefone,E-mail,Site,Veredito,Grupo/Dono,Porte estimado (R$),Evidência
BANCO VR S.A.,Banco,78.626.983/0001-63,SP,São Paulo,11 41347500,COMPLIANCE@BANCOVR.COM.BR,WWW.BANCOVR.COM.BR,PRIMEIRA,Grupo VR (VR Beneficios),310000000,BancoData: ativo R$ 310 mi (dez/2022); consignado privado
CODEPE CORRETORA DE VALORES E CÂMBIO S.A.,CTVM,09.512.542/0001-18,SP,Barueri,81 21377979,CODEPE@CODEPE.COM.BR,WWW.CODEPE.COM.BR,PRIMEIRA,Familia Aguiar (independente),,"Econodata/Serasa: corretora familiar de cambio, Alphaville; porte < R$ 100 mi"
GURU CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,CTVM,57.707.777/0001-08,SP,São Paulo,11 98144455,FELIPE@GURU.COM.VC,HTTPS://WWW.GURUCTVM.COM.BR/,PRIMEIRA,Fundadores + Turim MFO (independente),,"Finsiders: fintech com licenca propria 2024, aporte R$ 12 mi; porte < R$ 50 mi"
VIS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,DTVM,38.429.045/0001-59,MT,Cuiabá,65 30464940,COMUNICACOES@VISDTVM.COM.BR,WWW.VISDTVM.COM.BR,PRIMEIRA,"Grupo FNX (Fenix DTVM, independente)",,CNPJ/site: DTVM nova de Cuiaba. ATENCAO: opera ouro de garimpo (PLG) - risco reputacional/PLD; avaliar antes de abordar
TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DTVM,02.276.653/0001-23,GO,Goiânia,62 37731700,COMPLIANCE@TRINUSCO.COM.BR,HTTPS://TRINUS.CO/DTVM,PRIMEIRA,"Trinus.Co / Diego Siqueira (independente, Goiania)",8600000,"Formulario de referencia + BancoData: ativo ~R$ 8,6 mi, PL ~R$ 6,5 mi"
OXY DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DTVM,62.667.674/0001-00,RS,Porto Alegre,51 35156200,LUFE.CARCHEDI@OXYCREDITOIMOBILIARIO.COM.BR,,PRIMEIRA,"Familia Carchedi (independente, POA)",,"BCB: autorizada 2024/25 com capital R$ 1,5 mi (mesmo grupo da OXY Hipotecaria)"
PARANÁ BANCO S.A.,Banco,14.388.334/0001-99,PR,Curitiba,41 33519899,PRESIDENCIA@PARANABANCO.COM.BR,WWW.PARANABANCO.COM.BR,SEGUNDA,Familia Malucelli (JMalucelli),10500000000,"BancoData set/2024: ativo R$ 10,5 bi, PL R$ 1,3 bi; consignado/seguros"
BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,Banco,00.556.603/0001-74,PR,Curitiba,41 40072628,COMPLIANCE@BANCOBARI.COM.BR,WWW.BANCOBARI.COM.BR,SEGUNDA,Grupo Barigui (Curitiba),1700000000,"Moody's Local jun/2024: conglomerado R$ 1,7 bi; home equity/consignado"
OMNI BANCO S.A.,Banco,60.850.229/0001-47,SP,São Paulo,11 33653522,OMNI.BANCO@OMNI.COM.BR,HTTPS://REBRAND.LY/WHATSAPPOUVIDORIAOMNI,SEGUNDA,Grupo Omni (nacional independente),2800000000,"DFs omni.com.br: ativo R$ 2,8 bi (dez/2025)"
BANCO SOFISA S.A.,Banco,60.889.128/0001-80,SP,São Paulo,11 31765500,INSTITUCIONALSOFISABCB@SOFISA.COM.BR,WWW.SOFISA.COM.BR,SEGUNDA,Familia Burmaian (~66%),8300000000,"Moody's Local jan/2026: ativos bancarios R$ 8,3 bi (jun/2025); banco familiar independente"
WARREN RENA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,DTVM,62.287.735/0001-03,SP,São Paulo,11 32630400,COMPLIANCE@WARREN.COM.BR,HTTPS://WARREN-WEBSITE-V09.WEBFLOW.IO/,SEGUNDA,"Warren Brasil (fintech nacional, ex-Renascenca)",2690000000,"Balanco BDO: ativo oscila R$ 0,36-2,69 bi (dealer de titulos publicos); PL ~R$ 71 mi"
BEC DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,DTVM,07.299.480/0001-82,SP,Osasco,11 36844705,4260.GUILHERME@BRADESCO.COM.BR,,DESCARTAR-GRUPO,Bradesco,,CNPJ: sede Cidade de Deus; socio Banco Bradesco BERJ
PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,DTVM,40.303.299/0001-78,SP,São Paulo,11 23935199,CONTROLES.INTERNOS@PORTOSEGURO.COM.BR,WWW.PORTOPAR.COM.BR,DESCARTAR-GRUPO,Porto Seguro,,Site Porto Seguro: DTVM de distribuicao do conglomerado
ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DTVM,33.817.677/0001-76,SP,São Paulo,11 31702221,MARKETING@ABCBRASIL.COM.BR,WWW.ABCBRASIL.COM.BR,DESCARTAR-GRUPO,"Banco ABC Brasil (Bank ABC, Bahrein)",,"Subsidiaria integral do banco, controle estrangeiro"
CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DTVM,42.040.639/0001-40,SP,São Paulo,11 35724600,DITVM@CAIXA.GOV.BR,WWW.CAIXA.GOV.BR/CAIXADTVM,DESCARTAR-ESTATAL,Caixa Economica Federal,,Subsidiaria integral da estatal; gere ~R$ 437 bi
